Unnamed: 0,Density_@5mi,State/Province_Encoded,Price_Range_Encoded,Instagram_Followers,Facebook_Followers,Google_Review_Score,OpenTable_Review_Score,TripAdvisor_Review_Score,Facebook_Review_Score,DoorDash_Review_Score,Google_Total_Reviews,TripAdvisor_Total_Reviews,OpenTable_Total_Reviews,Facebook_Total_Reviews,DoorDash_Total_Reviews,Tech_Preferred_Google,Tech_Preferred_Facebook,Tech_Preferred_Toast,Tech_Preferred_Instagram,Tech_Preferred_DoorDash,Tech_Preferred_OpenTable,Tech_Preferred_Square,Tech_Preferred_Stripe,Tech_Preferred_SpotOn,Tech_Preferred_Aloha,Tech_Preferred_Heartland,Tech_Preferred_Clover,Tech_Preferred_Symphony,Tech_Preferred_Deliverect,Tech_Competitor_ezCater,Tech_Competitor_Chownow,Tech_Competitor_Spothopper,Tech_Competitor_Menufy,Tech_Competitor_Olo,Tech_Competitor_Bentobox,Tech_Competitor_MailChimp,Tech_Competitor_HungerRush,Tech_Competitor_Incentivio,Tech_Competitor_Owner,Tech_Competitor_Klaviyo,Tech_Competitor_Chowly,Tech_Overlapping_Uber_Eats,Tech_Overlapping_Grubhub,Tech_Overlapping_Seamless,Tech_Overlapping_Postmates,Tech_Overlapping_Caviar,Tech_Overlapping_Paytronix,Cusine_North_American,Cusine_European,Cusine_Latin_American,Cusine_Asian,Business_Type_Restaurant,Business_Type_Drinking_Place,Business_Type_Quick_Service,Business_Type_Cafe
7697,1481,9,1,0.0,0.0,4.7,0.0,0.0,0.0,4.5,57.0,0.0,0.0,0.0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
3981,49,22,0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2820,112,44,2,0.0,3518.0,4.1,0.0,0.0,0.0,0.0,1256.0,199.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1957,565,44,1,924.0,0.0,4.7,4.2,1.0,0.0,0.0,271.0,0.0,28.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5622,2005,23,2,1028.0,1447.0,4.2,0.0,0.0,4.7,4.3,2073.0,150.0,0.0,0.0,9831.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
584,331,33,0,2463.0,898.0,4.4,0.0,2.5,0.0,4.7,292.0,4.0,0.0,12.0,3558.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
6943,1209,9,0,6024.0,0.0,4.6,0.0,0.0,0.0,4.4,346.0,0.0,0.0,0.0,154.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0
6062,631,4,0,0.0,324.0,4.4,0.0,0.0,4.2,4.6,700.0,50.0,0.0,153.0,3970.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0
1877,65,10,1,0.0,10000.0,4.3,0.0,0.0,0.0,4.5,239.0,0.0,0.0,400.0,589.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8574,73,4,2,0.0,560.0,4.2,0.0,0.0,4.7,4.5,1050.0,39.0,0.0,13.0,231.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3502,139,48,1,0.0,0.0,4.3,0.0,0.0,0.0,0.0,895.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
3429,1279,47,1,2753.0,0.0,4.3,0.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9197,30,47,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6318,2390,44,1,13483.0,0.0,4.6,0.0,1.0,0.0,4.6,487.0,0.0,0.0,0.0,652.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0
3067,102,13,1,29.0,4400.0,4.6,0.0,0.0,0.0,0.0,336.0,6.0,0.0,66.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1009,162,4,1,15704.0,3900.0,4.6,0.0,0.0,0.0,4.7,942.0,219.0,0.0,551.0,475.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
195,1774,4,2,2931.0,0.0,4.6,0.0,5.0,0.0,4.7,433.0,1.0,0.0,0.0,1997.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
5253,747,33,1,6419.0,2517.0,4.5,4.8,0.0,4.8,4.5,4999.0,1197.0,2168.0,233.0,3413.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
717,393,4,1,2462.0,14074.0,4.5,0.0,0.0,4.5,4.6,4129.0,362.0,0.0,1671.0,1521.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
8992,60,14,0,0.0,1577.0,4.3,0.0,0.0,0.0,0.0,233.0,10.0,0.0,21.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
621,631,10,2,0.0,10664.0,4.5,0.0,0.0,4.7,4.6,3234.0,518.0,0.0,0.0,1881.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
308,904,20,2,84.0,0.0,3.9,0.0,0.0,0.0,4.5,1327.0,143.0,0.0,0.0,2355.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
3528,141,32,1,0.0,6500.0,4.6,0.0,0.0,0.0,0.0,842.0,128.0,0.0,807.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9032,7062,4,2,471537.0,0.0,3.4,0.0,0.0,0.0,4.4,7.0,0.0,0.0,0.0,20.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
1094,306,47,2,0.0,510.0,4.4,0.0,0.0,0.0,4.6,645.0,46.0,0.0,268.0,2416.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0
3553,259,10,0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1103,567,32,3,0.0,12470.0,4.7,4.7,0.0,4.8,0.0,2892.0,984.0,8084.0,1172.0,0.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2272,22,44,2,110.0,4200.0,4.4,0.0,0.0,0.0,4.4,789.0,58.0,0.0,449.0,222.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
